dt_iso,dt,timezone,lat,lon,temp,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,clouds_all,weather_id,city_name_Custom location,weather_main_Clear,weather_main_Clouds,weather_main_Rain,weather_main_Snow,weather_description_broken clouds,weather_description_few clouds,weather_description_heavy intensity rain,weather_description_light rain,weather_description_light snow,weather_description_moderate rain,weather_description_overcast clouds,weather_description_scattered clouds,weather_description_sky is clear,weather_description_snow,weather_icon_01d,weather_icon_01n,weather_icon_02d,weather_icon_02n,weather_icon_03d,weather_icon_03n,weather_icon_04d,weather_icon_04n,weather_icon_10d,weather_icon_10n,weather_icon_13d,weather_icon_13n
2010-01-01 00:00:00+00:00,1262345400.0,3600.0,41.78681,-0.123294,7.591666666666666,0.42333333333333334,4.404583333333333,6.6812499999999995,8.210416666666667,1005.3333333333334,,,60.458333333333336,6.43375,280.7916666666667,8.365559210526316,26.916666666666668,801.4166666666666,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.20833333333333334,0.125,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.041666666666666664,0.2916666666666667,0.0,0.125,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.041666666666666664,0.0,0.0,0.0,0.0
2010-01-02 00:00:00+00:00,1262431800.0,3600.0,41.78681,-0.123294,5.93625,1.635,3.30875,5.18875,6.635833333333333,1018.0,,,74.58333333333333,4.090416666666667,265.875,8.365559210526316,38.0,801.7083333333334,1.0,0.2916666666666667,0.7083333333333334,0.0,0.0,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.25,0.2916666666666667,0.0,0.16666666666666666,0.125,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.20833333333333334,0.08333333333333333,0.20833333333333334,0.0,0.0,0.0,0.0
2010-01-03 00:00:00+00:00,1262518200.0,3600.0,41.78681,-0.123294,5.539166666666667,3.4324999999999997,4.485416666666667,5.045416666666667,6.3275,1018.0,,,86.54166666666667,1.5845833333333335,96.91666666666667,8.365559210526316,78.08333333333333,739.9166666666666,1.0,0.08333333333333333,0.7083333333333334,0.20833333333333334,0.0,0.125,0.08333333333333333,0.0,0.16666666666666666,0.0,0.041666666666666664,0.4583333333333333,0.041666666666666664,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.041666666666666664,0.25,0.3333333333333333,0.125,0.08333333333333333,0.0,0.0
2010-01-04 00:00:00+00:00,1262604600.0,3600.0,41.78681,-0.123294,6.588333333333334,4.985833333333333,5.3475,5.953749999999999,7.28375,1009.9166666666666,,,89.66666666666667,1.9991666666666665,148.66666666666666,8.365559210526316,99.91666666666667,740.8333333333334,1.0,0.0,0.7916666666666666,0.20833333333333334,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.16666666666666666,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.4166666666666667,0.0,0.20833333333333334,0.0,0.0
2010-01-05 00:00:00+00:00,1262691000.0,3600.0,41.78681,-0.123294,7.65625,4.5062500000000005,6.0575,7.16875,8.11125,1001.4583333333334,,,81.08333333333333,3.0225000000000004,224.45833333333334,8.365559210526316,95.95833333333333,677.2083333333334,1.0,0.0,0.5833333333333334,0.4166666666666667,0.0,0.125,0.0,0.0,0.4166666666666667,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.2916666666666667,0.08333333333333333,0.3333333333333333,0.0,0.0
2010-01-06 00:00:00+00:00,1262777400.0,3600.0,41.78681,-0.123294,4.0408333333333335,-2.1774999999999998,0.86,2.86125,4.6033333333333335,1004.9583333333334,,,63.333333333333336,4.30875,268.1666666666667,8.365559210526316,13.083333333333334,800.625,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.041666666666666664,0.125,0.0,0.041666666666666664,0.0,0.125,0.0,0.0,0.0,0.0
2010-01-07 00:00:00+00:00,1262863800.0,3600.0,41.78681,-0.123294,1.515,-0.08125,-0.5408333333333333,0.915,2.8991666666666664,1002.8333333333334,,,88.58333333333333,2.2341666666666664,183.83333333333334,8.365559210526316,95.25,618.0416666666666,1.0,0.0,0.375,0.5833333333333334,0.041666666666666664,0.041666666666666664,0.0,0.0,0.5833333333333334,0.041666666666666664,0.0,0.2916666666666667,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.041666666666666664,0.0
2010-01-08 00:00:00+00:00,1262950200.0,3600.0,41.78681,-0.123294,2.5475,-3.612083333333333,-1.8516666666666666,2.10125,3.2016666666666667,1000.9583333333334,,,62.833333333333336,5.3029166666666665,290.0416666666667,8.365559210526316,89.5,753.0,1.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.5833333333333334,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.375,0.375,0.0,0.16666666666666666,0.0,0.0
2010-01-09 00:00:00+00:00,1263036600.0,3600.0,41.78681,-0.123294,0.33875000000000005,-6.2941666666666665,-5.937083333333334,0.017500000000000005,0.99375,1008.9166666666666,,,57.958333333333336,8.210833333333333,293.5833333333333,8.365559210526316,9.666666666666666,800.375,1.0,0.7916666666666666,0.20833333333333334,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.7916666666666666,0.0,0.3333333333333333,0.4583333333333333,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333,0.0,0.041666666666666664,0.0,0.0,0.0,0.0
2010-01-10 00:00:00+00:00,1263123000.0,3600.0,41.78681,-0.123294,0.38833333333333336,-4.222083333333333,-3.5804166666666664,0.02125,1.2429166666666667,1015.1666666666666,,,69.20833333333333,4.5737499999999995,251.75,8.365559210526316,47.458333333333336,801.9583333333334,1.0,0.5,0.5,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.4583333333333333,0.0,0.5,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.20833333333333334,0.2916666666666667,0.0,0.0,0.0,0.0
